Date,Topic Title,Viral Score,Safety Shield,Approval Status,Hook Text,Full Script,Voiceover File,YouTube Title,Final Video Link,YT Upload Status,Trend Source
2026-06-04,"Apple touts $1.4 trillion in App Store billings and sales, 90% without a commission",8,PASS,UPLOADED,"Apple just revealed a mind-blowing number from its App Store, and it's NOT what you think!","Get this: Apple's App Store generated a staggering $1.4 TRILLION in sales last year! Sounds like Apple just got unbelievably rich, right? Well, not exactly. Only a small fraction, $149 billion, was for digital purchases where Apple actually takes its commission. The other 90%? That's for physical goods and services, like buying clothes or booking a ride, where Apple earns almost nothing! This highlights the enormous economy the App Store enables. But is Apple a fair platform creator or a greedy gatekeeper? What do YOU think? Is their cut fair? Drop a comment below and smash that subscribe button for more tech insights!",D:\AI Agent\Automat the YouTube\assets\temp\voice_Apple_touts_$1.4_trillion_in_A.mp3,Apple's $1.4 Trillion Secret Exposed! #shorts #AppStore,D:\AI Agent\Automat the YouTube\assets\output\03_Final_Videos\final_Apple_touts_$1.4_trillion_in_A.mp4,SUCCESS,rss/TechCrunch
2026-06-04,"Oura Ring 5 review: Thinner, lighter, better",8,PASS,UPLOADED,Wearable tech just got an INVISIBLE upgrade!,"Tired of bulky smartwatches interrupting your sleep or workouts? Prepare to be amazed. The new Oura Ring 5 is here, described as the world’s smallest smart ring. It’s a game-changer! This tiny tracker is 40% smaller than its predecessor, fitting seamlessly into your life. Starting at $399, it monitors sleep, activity, and recovery, all from your finger. But here's the burning question: Is this minimalist tech worth almost $400? Can something so small truly replace your full-feature smartwatch? Are you ready to ditch the wrist and go tiny? Tell us in the comments! And hit that subscribe button for more future tech deep dives!",D:\AI Agent\Automat the YouTube\assets\temp\voice_Oura_Ring_5_review_Thinner_lig.mp3,Oura Ring 5: Invisible Health Tracking? #shorts #tech,D:\AI Agent\Automat the YouTube\assets\output\03_Final_Videos\final_Oura_Ring_5_review_Thinner_lig.mp4,SUCCESS,rss/TechCrunch
2026-06-04,Benchmark raises its first-ever growth fund as part of $2B capital raise,8,PASS,DRAFT,A legendary Silicon Valley rule just got SHATTERED!,"For over 20 years, Benchmark, one of tech's most iconic investors, stuck to a $425 million fund limit. It was their SECRET to massive returns. Until now. They just raised their FIRST EVER growth fund, part of a massive $2 BILLION capital raise. This is HUGE! Why the sudden change? Is it adapting to new market realities, or risking what made them legendary? Are smaller, focused funds a thing of the past? What do YOU think? Will this move pay off, or dilute their magic? Let me know in the comments and subscribe for more insights!",,Legendary VC Firm Breaks Its Golden Rule! 😱 #shorts #venturecapital,,,rss/TechCrunch
2026-06-04,Bitcoin Has Longest Losing Streak Since August in Bruising Week,8,PASS,DRAFT,Bitcoin just wiped out months of gains in a brutal crash!,"It's experiencing its longest losing streak since August! This past week saw major losses, sending shockwaves through the crypto market. Bitcoin plummeted, dropping back to pre-conflict prices. Essentially, it erased all those hard-won recovery efforts. A bruising week for holders. So, is this just a temporary dip where smart money buys in? Or is it a chilling warning sign of a much deeper crypto winter ahead? What's YOUR take on Bitcoin's future? Will it bounce back, or is more pain coming? Drop your predictions below and hit subscribe for more updates!",,Bitcoin CRASHED! Longest Losing Streak! 📉 #Crypto #Shorts,,,rss/Hacker News: Front Page
2026-06-04,VoidZero Is Joining Cloudflare,8,PASS,DRAFT,Cloudflare just swallowed a massive internet security secret!,"Your favorite websites? They're vulnerable to attacks *before* they even launch! Software supply chain threats are booming. Enter VoidZero: security wizards protecting every step of software development. Cloudflare is bringing them onboard to supercharge its defenses! This isn't just an acquisition. It's Cloudflare doubling down on securing the internet's core. Will this make the web truly safer, or centralize too much power? What do YOU think this means for online privacy and safety? Share your thoughts! And subscribe for more viral tech news!",,Cloudflare's HUGE Move: Internet Security SHOCKER! #tech #shorts,,,rss/Hacker News: Front Page
2026-06-04,EU should expand to 40 states – including Canada,8,PASS,UPLOADED,Canada in the European Union?! You heard that right – this isn't a drill!,"Finland's President Stubb just dropped a bombshell: he wants the EU to expand to FORTY states. We're talking countries like Canada, Turkey, Norway, and others joining a massive new superbloc. It's a huge shift from what we know! This isn't just about more members. It's about completely rewriting global economics and power dynamics. Imagine the impact on trade, politics, and YOU! Could a transatlantic EU actually work? What do YOU think about Canada joining? Let us know in the comments and subscribe for more mind-blowing updates!",D:\AI Agent\Automat the YouTube\assets\temp\voice_EU_should_expand_to_40_states_.mp3,Canada Joins EU?! Shocking Expansion Proposal! #shorts #EU,https://drive.google.com/file/d/1XKAc6EgNKWX_mqm77sOtVzIBOMNYkVcT/view?usp=drivesdk,SUCCESS,rss/Hacker News: Front Page
2026-06-04,"In a first, wind and solar generated more power than gas globally in April 2026",8,PASS,UPLOADED,Did you hear the EARTH just hit a HUGE energy milestone?!,"For the first time ever, in April 2026, wind and solar generated MORE electricity globally than natural gas! Think about that. Green energy sources officially outpaced a major fossil fuel worldwide. This isn't just a small win; it's a massive shift! Experts are calling this a turning point. It shows renewables aren't just an alternative; they're becoming the dominant force. The future of power is looking greener, faster than many expected. Is this the beginning of the end for fossil fuels? What do YOU think? Let me know in the comments and subscribe for more mind-blowing updates!",D:\AI Agent\Automat the YouTube\assets\temp\voice_In_a_first_wind_and_solar_gene.mp3,Green Energy SHOCKS the World! 🌎 #shorts #cleanenergy,D:\AI Agent\Automat the YouTube\assets\output\03_Final_Videos\final_In_a_first_wind_and_solar_gene.mp4,SUCCESS,rss/Hacker News: Front Page
2026-06-04,Chinese spies are using LinkedIn to lure Westerners into sharing sensitive information,8,PASS,UPLOADED,Think your LinkedIn profile is safe? Think again.,"Chinese spies are actively using platforms like LinkedIn to recruit YOU. They're not just looking for employees, they're looking for secrets. They pose as recruiters, offering tempting jobs. Their real goal? To get you to share sensitive, non-public information. They target professionals with access to classified or proprietary data. This isn't just about privacy; it's about national security and corporate espionage. How do we protect ourselves from such sophisticated digital threats? What's your take on this digital spy game? Let us know in the comments! And hit that subscribe button for more urgent insights!",D:\AI Agent\Automat the YouTube\assets\temp\voice_Chinese_spies_are_using_Linked.mp3,🚨 Your LinkedIn Job Offer Could Be A SPY TRAP! #shorts #LinkedInScam,https://drive.google.com/file/d/1pqp7owZRuj2a4KHktm8ly3Fz82cKgSiE/view?usp=drivesdk,SUCCESS,rss/TechCrunch
2026-06-04,Is Silicon Valley ready to put robots in people’s homes? Hello Robot is.,8,PASS,RENDERED,"What if I told you a robot could *actually* clean your house, right now?","For years, home robots felt like science fiction, right? Well, Silicon Valley just said 'game on'! A California startup, Hello Robot, just dropped its fourth-generation home assistant, Stretch. This isn't just a gimmick; it's built to perform real daily chores. So, is the world truly ready for robots in *your* home? This could be a massive shift in how we live... or just a new gadget. The debate is real. Would YOU welcome a robot like Stretch into your life? Tell me in the comments! And don't forget to subscribe for more future tech updates!",D:\AI Agent\Automat the YouTube\assets\temp\voice_Is_Silicon_Valley_ready_to_put.mp3,Robots in Your HOME?! The Future is HERE! #shorts #homerobot,https://drive.google.com/file/d/1zK1DmkwwQzY2AKsdEoL_PdYgh9XABoOj/view?usp=drivesdk,,rss/TechCrunch
2026-06-04,Ramp raises $750M at $44B valuation as investors hunger for fintechs with an AI story,0,FAIL,FAILED,,,,,,,"rss/TechCrunch | Rejected: Shield API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 52.954426429s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 20
}
, retry_delay {
  seconds: 52
}
]"
